Manilla Thrilla Cave
SURVEY NAME: manilla_rope_cave
SURVEY DATE: 3 6 2023  COMMENT: 
SURVEY TEAM: 
Alex Fischer, Pete Johnson
DECLINATION:   -3.56  FORMAT: DMMDLUDRLAaDdNF  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

                  A1                   A2    14.85    27.10    16.30     9.19     3.95     7.39    13.28
                  A2                   A3    13.41    37.10    18.00     9.13     3.83     1.09    10.64
                  A3                   A4    20.77   328.20    46.20     4.53    10.64     1.76    15.77
                  A4                   A5    12.25    53.10    21.90    11.80    12.71    15.25    12.84
                  A5                   A6    18.20    15.80    37.20     8.77    11.45     4.05     6.26
                  A6                   A7    15.92   311.10    70.30     1.12    12.39     2.04     0.34
                  A7                   A8    13.32    18.30    52.60     1.33    11.71    10.55     1.76
                  A8                   A9    15.30    12.80    14.90     2.97     2.36     2.31     1.45
                  A3                  A12    18.75    27.80    24.60    10.42    10.64     1.76    12.34
                 A12                  A13     9.67   323.60    21.80    18.37     4.91     5.84     3.17
                 A13                  A14     8.54     2.90     5.50     1.77     1.17     4.47     5.81
                 A14                  A15     7.28   307.60    -6.20     4.52     0.01     1.07     2.43
                 A15                  A16    16.43   346.20    -3.40     6.26     0.89     1.28     1.86


